,itemId,userId,rating,label
0,1,1,2.0,1.0
1,1,2,3.0,3.0
2,1,3,2.5,1.0
3,1,4,3.0,3.0
4,1,5,3.0,3.0
5,1,6,3.0,3.0
6,1,7,3.0,3.0
7,1,8,2.5,1.0
8,1,9,3.0,3.0
9,1,10,3.0,1.0
10,1,11,3.0,3.0
11,2,12,3.0,3.0
12,2,13,3.0,3.0
13,2,14,3.0,3.0
14,2,15,3.0,3.0
15,2,16,3.0,3.0
16,2,17,3.0,3.0
17,2,18,3.0,3.0
18,2,19,3.0,3.0
19,2,20,2.5,2.0
20,2,21,2.5,3.0
21,2,22,2.5,3.0
22,3,23,3.0,2.0
23,3,24,3.0,3.0
24,3,25,3.0,3.0
25,3,26,3.0,3.0
26,4,27,3.0,3.0
27,4,28,3.0,3.0
28,4,29,3.0,3.0
29,4,30,3.0,3.0
30,4,31,3.0,3.0
31,4,32,3.0,3.0
32,4,33,3.0,3.0
33,4,34,3.0,3.0
34,4,35,3.0,3.0
35,4,36,3.0,3.0
36,4,37,3.0,3.0
37,5,38,3.0,3.0
38,5,39,3.0,3.0
39,5,40,3.0,3.0
40,5,41,3.0,3.0
41,5,42,3.0,3.0
42,5,43,2.0,3.0
43,5,44,3.0,3.0
44,5,45,3.0,3.0
45,5,46,3.0,3.0
46,5,47,3.0,3.0
47,5,48,3.0,3.0
48,6,49,2.5,3.0
49,6,50,3.0,3.0
50,6,51,2.5,3.0
51,6,52,3.0,3.0
52,6,53,2.0,2.0
53,6,54,3.0,3.0
54,6,55,3.0,3.0
55,8,56,3.0,3.0
56,6,57,3.0,3.0
57,8,58,3.0,3.0
58,6,59,3.0,3.0
59,7,60,3.0,3.0
60,6,61,3.0,3.0
61,9,62,1.0,1.0
62,8,63,3.0,3.0
63,9,64,3.0,3.0
64,6,65,1.0,1.0
65,7,66,2.5,1.0
66,9,67,3.0,3.0
67,8,68,3.0,3.0
68,9,69,3.0,3.0
69,6,70,3.0,3.0
70,9,71,3.0,2.0
71,8,72,3.0,3.0
72,8,73,3.0,3.0
73,9,74,3.0,3.0
74,7,75,2.5,3.0
75,8,76,2.0,2.0
76,7,77,3.0,3.0
77,8,78,3.0,3.0
78,8,79,3.0,3.0
79,9,80,3.0,3.0
80,7,81,2.5,2.0
81,7,82,3.0,3.0
82,8,83,2.5,3.0
83,8,84,3.0,3.0
84,10,85,2.5,3.0
85,9,86,3.0,3.0
86,7,87,2.5,3.0
87,9,88,2.5,3.0
88,7,89,2.5,3.0
89,7,90,2.5,3.0
90,9,91,3.0,3.0
91,9,92,2.5,3.0
92,10,93,3.0,3.0
93,11,94,2.5,3.0
94,7,95,3.0,3.0
95,11,96,3.0,3.0
96,10,97,2.5,3.0
97,11,98,2.5,3.0
98,11,99,1.0,1.0
99,11,100,3.0,3.0
100,10,101,2.5,3.0
101,11,102,2.5,3.0
102,11,103,2.5,3.0
103,10,104,3.0,3.0
104,11,105,3.0,3.0
105,10,106,2.5,3.0
106,11,107,3.0,3.0
107,10,108,3.0,3.0
108,10,109,3.0,3.0
109,11,110,3.0,3.0
110,10,111,3.0,3.0
111,10,112,2.5,3.0
112,10,113,2.5,3.0
113,12,114,3.0,3.0
114,12,115,3.0,3.0
115,12,116,3.0,3.0
116,12,117,1.5,2.0
117,12,118,3.0,3.0
118,12,119,3.0,1.0
119,12,120,3.0,3.0
120,12,121,2.0,3.0
121,12,122,3.0,3.0
122,12,123,2.5,3.0
123,12,124,3.0,3.0
124,13,125,3.0,3.0
125,13,126,3.0,3.0
126,13,127,3.0,2.0
127,13,128,2.5,3.0
128,13,129,3.0,3.0
129,13,130,3.0,3.0
130,14,131,3.0,3.0
131,13,132,3.0,3.0
132,13,133,3.0,2.0
133,13,134,3.0,3.0
134,13,135,2.5,3.0
135,14,136,3.0,3.0
136,13,137,2.5,3.0
137,14,138,2.5,3.0
138,14,139,3.0,3.0
139,14,140,3.0,3.0
140,14,141,3.0,3.0
141,14,142,1.0,2.0
142,14,143,3.0,3.0
143,14,144,2.5,3.0
144,14,145,3.0,3.0
145,14,146,3.0,3.0
146,15,147,3.0,3.0
147,15,148,3.0,2.0
148,15,149,2.5,3.0
149,15,150,2.5,3.0
150,15,151,3.0,3.0
151,15,152,2.5,3.0
152,15,153,2.0,3.0
153,15,154,3.0,3.0
154,15,155,2.0,3.0
155,15,156,3.0,3.0
156,15,157,2.5,3.0
157,16,158,2.5,2.0
158,16,159,3.0,2.0
159,16,160,3.0,3.0
160,16,161,2.5,3.0
161,16,162,3.0,3.0
162,16,163,1.0,3.0
163,16,164,3.0,3.0
164,16,165,2.5,3.0
165,16,166,3.0,3.0
166,16,167,3.0,3.0
167,16,168,2.5,3.0
168,17,169,3.0,3.0
169,17,28,2.5,3.0
170,17,170,1.5,1.0
171,17,171,2.5,3.0
172,17,172,3.0,3.0
173,17,173,3.0,3.0
174,17,174,3.0,3.0
175,17,175,3.0,3.0
176,17,160,3.0,3.0
177,17,176,3.0,3.0
178,17,177,3.0,3.0
179,18,178,3.0,1.0
180,18,179,3.0,3.0
181,18,180,3.0,3.0
182,18,181,3.0,3.0
183,18,182,2.5,3.0
184,18,183,2.5,3.0
185,18,184,3.0,3.0
186,18,185,3.0,3.0
187,18,186,3.0,3.0
188,18,187,3.0,3.0
189,18,188,3.0,3.0
190,19,189,2.5,3.0
191,19,190,2.5,3.0
192,19,191,3.0,3.0
193,19,192,2.5,3.0
194,19,193,3.0,3.0
195,19,194,3.0,3.0
196,19,195,3.0,3.0
197,19,196,3.0,3.0
198,19,197,3.0,3.0
199,19,198,3.0,3.0
200,19,36,3.0,3.0
201,19,199,3.0,2.0
202,20,200,3.0,3.0
203,20,140,3.0,3.0
204,20,201,3.0,3.0
205,20,146,3.0,3.0
206,20,202,3.0,3.0
207,20,203,3.0,3.0
208,20,145,3.0,3.0
209,20,31,3.0,3.0
210,20,204,3.0,3.0
211,20,205,3.0,3.0
212,20,138,2.5,3.0
213,20,141,3.0,3.0
214,21,206,3.0,3.0
215,21,207,3.0,3.0
216,21,115,3.0,3.0
217,21,208,3.0,3.0
218,21,209,3.0,3.0
219,22,210,2.5,3.0
220,21,211,2.0,1.0
221,22,212,3.0,3.0
222,22,213,3.0,3.0
223,22,207,3.0,3.0
224,22,214,3.0,1.0
225,21,215,3.0,3.0
226,21,100,3.0,3.0
227,21,210,2.5,3.0
228,21,216,3.0,3.0
229,22,217,2.5,3.0
230,21,218,3.0,3.0
231,22,219,3.0,3.0
232,21,220,2.5,3.0
233,22,189,2.5,3.0
234,22,215,3.0,3.0
235,22,221,3.0,3.0
236,22,110,3.0,3.0
237,22,222,3.0,3.0
238,23,223,2.5,3.0
239,23,224,3.0,3.0
240,23,225,3.0,3.0
241,23,226,3.0,3.0
242,23,227,3.0,3.0
243,23,228,1.5,1.0
244,23,229,2.5,2.0
245,23,230,2.5,3.0
246,23,231,3.0,3.0
247,23,232,3.0,2.0
248,23,233,3.0,3.0
249,23,234,3.0,3.0
